"Douglas C-47B","14","13","0.9285714285714286"
"Douglas DC-6BF","5","3","0.6"
"Boeing 40","3","3","1.0"
"Douglas DC-3","27","27","1.0"
"Douglas DC-47","22","22","1.0"
"Douglas C-47A","3","3","1.0"
"Boeing B-29","16","16","1.0"
"Douglas DC-3","20","19","0.95"
"Tupolev ANT-20 / I-5","50","50","1.0"
"Douglas DC-3","6","6","1.0"
"Douglas DC-3","20","20","1.0"
"Douglas DC-7C","65","61","0.9384615384615385"
"Boeing KC-135A","11","11","1.0"
"Tupolev TU-104A","81","81","1.0"
"Douglas DC-8-54F","3","3","1.0"
"Douglas C-47A","11","11","1.0"
"Tupolev TU-154B","134","4","0.029850746268656716"
"Boeing B-727-46","132","132","1.0"
"Airbus A320-232","66","66","1.0"
"Douglas C-47A","4","3","0.75"
"Boeing B-720-040B","127","121","0.952755905511811"
"Douglas C-47-DL","16","4","0.25"
"Douglas C-47","9","8","0.8888888888888888"
"Douglas DC-3","28","3","0.10714285714285714"
"Boeing B-707-124","45","45","1.0"
"Boeing 737-8HG","166","159","0.9578313253012049"
"Douglas C-47","6","6","1.0"
"Tupolev TU-134A","83","78","0.9397590361445783"
"Tupolev TU-154B-1","181","13","0.0718232044198895"
"Boeing 95","1","1","1.0"
"Douglas DST-A-207A","10","10","1.0"
"Douglas C-47","26","25","0.9615384615384616"
"Douglas DC-3","7","6","0.8571428571428571"
"Douglas C-47-DL (DC-3)","31","30","0.967741935483871"
"Douglas C-124A-DL","22","22","1.0"
"Douglas C-47","13","13","1.0"
"Boeing B-737-3T0","45","0","0.0"
"McDonnell Douglas DC-10-10","271","271","1.0"
"Boeing B-737-200","118","2","0.01694915254237288"
"Douglas DC-3C","11","2","0.18181818181818182"
"Airbus A.330-301","298","1","0.003355704697986577"
"Boeing B-747-209B","225","225","1.0"
"Douglas C-47","12","12","1.0"
"Douglas DC-6","6","6","1.0"
"Boeing B-767-3Z9ER","223","223","1.0"
"Boeing 221","1","1","1.0"
"Douglas DC-3","14","14","1.0"
"Douglas C-47-DL (DC-3)","3","3","1.0"
"Douglas DC-3 (C-53D-DO)","29","7","0.2413793103448276"
"Douglas C-54B","48","43","0.8958333333333334"
"Douglas C-54D-DC (DC-4)","40","40","1.0"
"Douglas DC-3","25","25","1.0"
"Douglas DC-3","4","4","1.0"
"Douglas C-47B-dK","21","21","1.0"
"Douglas C-54B-15-DO","53","53","1.0"
"Douglas DC-3","15","13","0.8666666666666667"
"McDonnell Douglas DC-8-53","61","61","1.0"
"McDonnell Douglas DC-9-14","4","4","1.0"
"Airbus A-320-233","136","3","0.022058823529411766"
"Douglas DC-3","19","19","1.0"
"Douglas DC-3","15","15","1.0"
"Boeing B-737-2A8","65","48","0.7384615384615385"
"Douglas C-47A-DK","30","26","0.8666666666666667"
"Douglas C-54B / P-38","55","55","1.0"
"Douglas DC-6B","44","44","1.0"
"Douglas DC-7C","88","45","0.5113636363636364"
"Douglas DC-3C","18","11","0.6111111111111112"
"Douglas DC-3","5","5","1.0"
"Douglas C-47A","30","30","1.0"
"Douglas C-54G","44","44","1.0"
"Boeing B-29A Superfortress","13","13","1.0"
"Douglas DC-3","28","28","1.0"
"Douglas DC-4","7","7","1.0"
"Douglas C-47-DL","8","8","1.0"
"Douglas C-54","68","68","1.0"
"Boeing B-707-321C","3","3","1.0"
"McDonnell Douglas DC-10-10","128","1","0.0078125"
"Douglas DC-3","10","10","1.0"
"Douglas DC-3","24","24","1.0"
"Douglas DC-3","17","17","1.0"
"Douglas DC-3","3","3","1.0"
"Douglas C-54A","5","5","1.0"
"Douglas C-47","26","13","0.5"
"Douglas C-47A","4","4","1.0"
"Douglas DC-3","2","2","1.0"
"Douglas DC-3","18","18","1.0"
"Douglas C-54B-1-DC","6","5","0.8333333333333334"
"Boeing B-707-131","36","1","0.027777777777777776"
"Boeing-Vertol Chinook","47","45","0.9574468085106383"
"Tupolev Tu-142M3","11","11","1.0"
"Boeing B-727-231","143","143","1.0"
"Douglas DC-3","23","3","0.13043478260869565"
"Boeing - 377-10-29 Stratocruiser","44","44","1.0"
"Douglas DC-3","3","3","1.0"
"Douglas DC-3","24","22","0.9166666666666666"
"Douglas C-47DL","30","30","1.0"
"Boeing B-727-23","62","58","0.9354838709677419"
"McDonnell Douglas DC-9-32","18","18","1.0"
"Boeing B-737-200","130","130","1.0"
"Boeing 247","9","4","0.4444444444444444"
"Douglas C-47A-DL","24","24","1.0"
"Douglas C-47B","4","2","0.5"
"McDonnell Douglas DC-9-31","18","18","1.0"
"Douglas DC-3","27","27","1.0"
"Tupolev TU-124","64","32","0.5"
"Boeing B-17G","20","20","1.0"
"Douglas C-54","44","44","1.0"
"Douglas DC-3 (C-53D-DO)","20","2","0.1"
"Douglas DC-6","25","0","0.0"
"Boeing B-727-22","91","43","0.4725274725274725"
"Boeing B-747-168B / Ilyushin IL-76TD","349","349","1.0"
"Airbus A-300-605R","260","260","1.0"
"Douglas C-48","17","16","0.9411764705882353"
"Douglas C-53D-DO (DC-3)","11","11","1.0"
"Douglas DC-3","15","15","1.0"
"Douglas C-54B-1-DC","52","52","1.0"
"McDonnell Douglas MD-82","102","12","0.11764705882352941"
