Monday,7,3,8,3,7,10,13,13,11,7,1
Tuesday,4,3,3,14,9,10,8,9,8,7,6
Wednesday,0,0,2,7,13,14,10,12,19,8,3
Thursday,2,5,1,10,8,12,5,11,10,5,4
Friday,2,4,5,15,11,10,14,11,6,4,3
Saturday,4,2,3,8,5,15,2,4,11,9,3
Sunday,2,3,2,3,7,8,9,4,7,3,2
,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2015
